folder,id,folder,name
n01440764,1,n01440764,"tench, Tinca tinca"
n01443537,2,n01443537,"goldfish, Carassius auratus"
n01484850,3,n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias"
n01491361,4,n01491361,"tiger shark, Galeocerdo cuvieri"
n01494475,5,n01494475,"hammerhead, hammerhead shark"
n01496331,6,n01496331,"electric ray, crampfish, numbfish, torpedo"
n01498041,7,n01498041,stingray
n01514668,8,n01514668,cock
n01514859,9,n01514859,hen
n01518878,10,n01518878,"ostrich, Struthio camelus"
n01530575,11,n01530575,"brambling, Fringilla montifringilla"
n01531178,12,n01531178,"goldfinch, Carduelis carduelis"
n01532829,13,n01532829,"house finch, linnet, Carpodacus mexicanus"
n01534433,14,n01534433,"junco, snowbird"
n01537544,15,n01537544,"indigo bunting, indigo finch, indigo bird, Passerina cyanea"
n01558993,16,n01558993,"robin, American robin, Turdus migratorius"
n01560419,17,n01560419,bulbul
n01580077,18,n01580077,jay
n01582220,19,n01582220,magpie
n01592084,20,n01592084,chickadee
n01601694,21,n01601694,"water ouzel, dipper"
n01608432,22,n01608432,kite
n01614925,23,n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus"
n01616318,24,n01616318,vulture
n01622779,25,n01622779,"great grey owl, great gray owl, Strix nebulosa"
n01629819,26,n01629819,"European fire salamander, Salamandra salamandra"
n01630670,27,n01630670,"common newt, Triturus vulgaris"
n01631663,28,n01631663,eft
n01632458,29,n01632458,"spotted salamander, Ambystoma maculatum"
n01632777,30,n01632777,"axolotl, mud puppy, Ambystoma mexicanum"
n01641577,31,n01641577,"bullfrog, Rana catesbeiana"
n01644373,32,n01644373,"tree frog, tree-frog"
n01644900,33,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
n01664065,34,n01664065,"loggerhead, loggerhead turtle, Caretta caretta"
n01665541,35,n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
n01667114,36,n01667114,mud turtle
n01667778,37,n01667778,terrapin
n01669191,38,n01669191,"box turtle, box tortoise"
n01675722,39,n01675722,banded gecko
n01677366,40,n01677366,"common iguana, iguana, Iguana iguana"
n01682714,41,n01682714,"American chameleon, anole, Anolis carolinensis"
n01685808,42,n01685808,"whiptail, whiptail lizard"
n01687978,43,n01687978,agama
n01688243,44,n01688243,"frilled lizard, Chlamydosaurus kingi"
n01689811,45,n01689811,alligator lizard
n01692333,46,n01692333,"Gila monster, Heloderma suspectum"
n01693334,47,n01693334,"green lizard, Lacerta viridis"
n01694178,48,n01694178,"African chameleon, Chamaeleo chamaeleon"
n01695060,49,n01695060,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"
n01697457,50,n01697457,"African crocodile, Nile crocodile, Crocodylus niloticus"
n01698640,51,n01698640,"American alligator, Alligator mississipiensis"
n01704323,52,n01704323,triceratops
n01728572,53,n01728572,"thunder snake, worm snake, Carphophis amoenus"
n01728920,54,n01728920,"ringneck snake, ring-necked snake, ring snake"
n01729322,55,n01729322,"hognose snake, puff adder, sand viper"
n01729977,56,n01729977,"green snake, grass snake"
n01734418,57,n01734418,"king snake, kingsnake"
n01735189,58,n01735189,"garter snake, grass snake"
